Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Manual_Match
32,175929,239743,1.362725872368967,0.5767600415712388,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_32,late_infected,TP,AS_C_I_15_3-20240724_20
33,159700,195102,1.221678146524734,0.5498897976899793,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_33,late_infected,TP,AS_C_I_15_3-20240724_24
1,502044,1271290,2.5322282509102787,0.7168925876343656,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_1,late_infected,FP,NA
2,507748,1115009,2.1959889551509804,0.687107805,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_2,late_infected,FP,NA
3,635374,1308502,2.0594201210625553,0.6731406735820598,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_3,late_infected,FP,NA
4,427249,1023691,2.396005607970996,0.705536411,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_4,late_infected,FP,NA
5,292196,797029,2.727720434229079,0.7317395395808947,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_5,late_infected,FP,NA
6,312653,844514,2.701122330506984,0.7298116866450565,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_6,late_infected,FP,NA
7,547620,986656,1.8017165187538804,0.643075952,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_7,late_infected,FP,NA
8,547050,1435442,2.623968558632666,0.7240594161287914,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_8,late_infected,FP,NA
9,560781,1027932,1.8330364259844751,0.6470218346548433,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_9,late_infected,FP,NA
10,291873,739358,2.5331496918180165,0.7169664216843753,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_10,late_infected,FP,NA
11,535323,1264713,2.362523186935738,0.7026042812477084,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_11,late_infected,TP,AS_C_U_15_3-20240717_5
12,524306,998942,1.9052652458678712,0.6557973488230413,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_12,late_infected,TP,AS_C_U_15_3-20240717_15
13,431383,1157143,2.6824028763303143,0.7284381873510412,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_13,late_infected,FP,NA
