Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Og_Manual_Match,Manual_Match
105,28580,487178,17.046116165150455,0.944586415,AS_Starter_1-20240711,AS_Starter_1-20240711_105,dead,FP,NA,NA
106,78226,774867,9.905491780226525,0.908303081,AS_Starter_1-20240711,AS_Starter_1-20240711_106,dead,FP,NA,NA
107,18768,349519,18.623135123614663,0.949039743,AS_Starter_1-20240711,AS_Starter_1-20240711_107,dead,FP,NA,NA
108,41808,263813,6.310108113279755,0.863203118,AS_Starter_1-20240711,AS_Starter_1-20240711_108,dead,FP,NA,NA
109,174710,580984,3.325419266212581,0.7688085389059592,AS_Starter_1-20240711,AS_Starter_1-20240711_109,late_infected,FP,NA,NA
110,257943,427471,1.657230473399162,0.623668323,AS_Starter_1-20240711,AS_Starter_1-20240711_110,late_infected,FP,NA,NA
111,101171,794959,7.857577764379121,0.8871023177440773,AS_Starter_1-20240711,AS_Starter_1-20240711_111,dead,FP,NA,NA
112,57431,420410,7.320262575960718,0.879811485,AS_Starter_1-20240711,AS_Starter_1-20240711_112,dead,FP,NA,NA
113,53367,196790,3.687484775235633,0.7866659737684734,AS_Starter_1-20240711,AS_Starter_1-20240711_113,late_infected,FP,NA,NA
114,60696,257672,4.2452879926189535,0.8093526987636949,AS_Starter_1-20240711,AS_Starter_1-20240711_114,dead,FP,NA,NA
115,86814,1043466,12.019559057294906,0.9231924832784796,AS_Starter_1-20240711,AS_Starter_1-20240711_115,dead,FP,NA,NA
116,76888,388549,5.053441369264385,0.8348047104119355,AS_Starter_1-20240711,AS_Starter_1-20240711_116,dead,FP,NA,NA
117,138752,974206,7.021203297970479,0.8753304257662913,AS_Starter_1-20240711,AS_Starter_1-20240711_117,dead,FP,NA,NA
118,80561,390691,4.849629473318355,0.8290490013835485,AS_Starter_1-20240711,AS_Starter_1-20240711_118,dead,FP,NA,NA
119,88729,401570,4.525803288665487,0.8190308362856135,AS_Starter_1-20240711,AS_Starter_1-20240711_119,dead,FP,NA,NA
120,121721,721527,5.9277117342118455,0.8556521924748117,AS_Starter_1-20240711,AS_Starter_1-20240711_120,dead,FP,NA,NA
121,80637,431311,5.348797698327071,0.8424898622516349,AS_Starter_1-20240711,AS_Starter_1-20240711_121,dead,FP,NA,NA
122,21032,124501,5.919598706732598,0.8554829488844454,AS_Starter_1-20240711,AS_Starter_1-20240711_122,dead,FP,NA,NA
123,34704,829279,23.89577570308898,0.9598325430014248,AS_Starter_1-20240711,AS_Starter_1-20240711_123,dead,FP,NA,NA
124,69314,261767,3.776538650200537,0.7906433773004189,AS_Starter_1-20240711,AS_Starter_1-20240711_124,late_infected,FP,NA,NA
125,92521,424726,4.590590244376952,0.8211280104089536,AS_Starter_1-20240711,AS_Starter_1-20240711_125,dead,FP,NA,NA
126,62696,332066,5.296446344264387,0.8411802554450529,AS_Starter_1-20240711,AS_Starter_1-20240711_126,dead,FP,NA,NA
127,29809,173389,5.816666107551411,0.853300721,AS_Starter_1-20240711,AS_Starter_1-20240711_127,dead,FP,NA,NA
128,58895,314719,5.343730367603362,0.8423640441739335,AS_Starter_1-20240711,AS_Starter_1-20240711_128,dead,FP,NA,NA
129,31444,221175,7.033933341814018,0.8755279689967896,AS_Starter_1-20240711,AS_Starter_1-20240711_129,dead,FP,NA,NA
130,28209,184772,6.550108122,0.8675515656326152,AS_Starter_1-20240711,AS_Starter_1-20240711_130,dead,FP,NA,NA
131,48593,964656,19.85174819418435,0.95204239,AS_Starter_1-20240711,AS_Starter_1-20240711_131,dead,FP,NA,NA
132,88544,368797,4.165126942537044,0.8063939161369744,AS_Starter_1-20240711,AS_Starter_1-20240711_132,dead,FP,NA,NA
133,179573,341548,1.9020008575899496,0.6554101638582978,AS_Starter_1-20240711,AS_Starter_1-20240711_133,late_infected,FP,NA,NA
134,105328,427251,4.056385766367917,0.8022302794514992,AS_Starter_1-20240711,AS_Starter_1-20240711_134,dead,FP,NA,NA
135,78309,379770,4.849634142,0.8290491378124734,AS_Starter_1-20240711,AS_Starter_1-20240711_135,dead,FP,NA,NA
