Cell_Number,R_Area,B_Area,BR_Ratio,Prop_Infected,Cell_Source,Unique_id,Status,F1,Og_Manual_Match,Manual_Match
18,191250,694110,3.6293333333333337,0.7839861751152074,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_18,late_infected,TP,AS_C_I_15_3-20240724_21,AS_C_I_15_3-20240724_21
19,494955,0,0,0,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_19,uninfected,TP,AS_C_I_15_3-20240724_11,AS_C_I_15_3-20240724_11
20,464100,40035,0.086263736,0.079413252,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_20,uninfected,FP,NA/7,NA
21,846090,18870,0.022302592,0.021816038,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_21,uninfected,TP,AS_C_I_15_3-20240724_24,AS_C_I_15_3-20240724_24
22,710685,25500,0.035880875,0.034638033,AS_C_I_15_3-20240724,AS_C_I_15_3-20240724_22,uninfected,FP,NA/5,NA
1,730575,0,0,0,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_1,uninfected,TP,AS_C_U_15_3-20240717_9,AS_C_U_15_3-20240717_9
2,1512405,29070,0.019221042,0.018858561,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_2,uninfected,TP,AS_C_U_15_3-20240717_17,AS_C_U_15_3-20240717_17
3,613275,0,0,0,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_3,uninfected,TP,AS_C_U_15_3-20240717_13,AS_C_U_15_3-20240717_13
4,1113330,0,0,0,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_4,uninfected,TP,AS_C_U_15_3-20240717_2,AS_C_U_15_3-20240717_2
5,776220,0,0,0,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_5,uninfected,TP,AS_C_U_15_3-20240717_14,AS_C_U_15_3-20240717_14
6,1372410,0,0,0,AS_C_U_15_3-20240717,AS_C_U_15_3-20240717_6,uninfected,TP,AS_C_U_15_3-20240717_1,AS_C_U_15_3-20240717_1
